Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5744652914bddca6c4fc4b67b18a26badfdf7472?e=17|*|||,Can We Believe Our Eyes?,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/bee3106be118ffaf806afbc207e72e3a266309ab?e=18|*|||,Power Writing for Science,Amy Miles uses a “power writing” exercise to build writing skills and reinforce background knowledge. Teacher: Amy Miles School: Health Sciences High…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/cacba7d3f4ef857551f8d2ba211bb812a8c447c6?e=19|*|||,Animal Life Cycles,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Describe the life stages…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/cd10a276f0a4ed2a215947b63c28d00806c5602a?e=0|*|||,Lessons From Thin Air,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d01c4d2e63ddacdccf9fe69e231bba2fc96cc7b1?e=1|*|||,Witness (video),Photographs bear witness to the world around us and give us an opportunity to learn more about historical and present…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d0c5ce69e8de04563d9e43b0b46b58c030fe202c?e=2|*|||,Reading In Science,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d4c37d3ea0a273120c8b45854d4a35aeddcbf3a7?e=3|*|||,Plant Life Cycles,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Describe the stages in…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/db59b2f76fa3b2b39bbc8479d34631b065249d44?e=4|*|||,Science Literacy: Reading and Writing Diagrams,"Students use models to explain how the relative positions of the Sun, Moon, and Earth determine Moon phases, eclipses, and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/ec4a7caf5d55737b5e33e3e5412c5e4ad1778b53?e=5|*|||,Lives (video),"Lives explores the story of human resilience and perseverance. In this video, you’ll meet five people who illuminate the lives of…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/bioedonline/bioedonline/lessons_and_more_lessons_by_topic_nature_of_science_scientific_decision_making_is_it_a_heart_attack_?e=6|*|||,Is It a Heart Attack?,"Using reference materials and their own knowledge, students compile a list of warning signs and symptoms of a heart attack. Students also view a video showing what happens immediately before, during and after a heart attack.",BioEd Online,English
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529560534220828905_31260529560534220828905?e=7|*|||,Science Book English Medium - OLD for Andhra Pradesh Board Class VI,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561271500828912_31260529560534220828905_31260529560534220828905?e=8|*|||,"15.light, Shadows And Images",N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561272320028914_31260529560534220828905_31260529560534220828905?e=9|*|||,5.materials And Things,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561273958428927_31260529560534220828905_31260529560534220828905?e=10|*|||,10. Changes Around Us,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561274777628932_31260529560534220828905_31260529560534220828905?e=11|*|||,7. Separation of substance,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561278054428951_31260529560534220828905_31260529560534220828905?e=12|*|||,3.rain: Where Does It Come From,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561278054428953_31260529560534220828905_31260529560534220828905?e=13|*|||,12.simple Elecric Circuits,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561285427228995_31260529560534220828905_31260529560534220828905?e=14|*|||,11.water In Our Life,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561286246429001_31260529560534220828905_31260529560534220828905?e=15|*|||,16.living And Non Living,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561288704029013_31260529560534220828905_31260529560534220828905?e=16|*|||,4.what Do Animals Eat,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561289523229018_31260529560534220828905_31260529560534220828905?e=17|*|||,9.plants Parts And Functions,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561292800029038_31260529560534220828905_31260529560534220828905?e=18|*|||,8. Fibre to Fabric,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561293619229042_31260529560534220828905_31260529560534220828905?e=19|*|||,1.our Food,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561295257629054_31260529560534220828905_31260529560534220828905?e=0|*|||,2.playing With Magnets,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561296896029061_31260529560534220828905_31260529560534220828905?e=1|*|||,6.habitat,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31260529561297715229070_31260529560534220828905_31260529560534220828905?e=2|*|||,13.learning How To Measure,N/A,DIKSHA,English  2020-10-01
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282176313840435215558_31282176313840435215558?e=3|*|||,विज्ञान भाग 1 : पाठ्यपुस्तक - Bihar Board for Class VI,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930722201616248_31282176313840435215558_31282176313840435215558?e=4|*|||,पृथक्करण,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930724659216259_31282176313840435215558_31282176313840435215558?e=5|*|||,चुंबक,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930725478416265_31282176313840435215558_31282176313840435215558?e=6|*|||,पदार्थ में परिवर्तन,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930726297616268_31282176313840435215558_31282176313840435215558?e=7|*|||,बल्ब जलाओ जगमग-जगमग,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930727936016276_31282176313840435215558_31282176313840435215558?e=8|*|||,भोजन में क्या-क्या आता है,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930730393616289_31282176313840435215558_31282176313840435215558?e=9|*|||,सजीवों में अनुकूलन,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930730393616290_31282176313840435215558_31282176313840435215558?e=10|*|||,विभिन्न प्रकार के पदार्थ,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930732032016298_31282176313840435215558_31282176313840435215558?e=11|*|||,ठोस कचरा प्रबंधन,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930733670416307_31282176313840435215558_31282176313840435215558?e=12|*|||,वायु,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930734489616312_31282176313840435215558_31282176313840435215558?e=13|*|||,प्रकाश,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930737766416325_31282176313840435215558_31282176313840435215558?e=14|*|||,जंतुओं में गति,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930738585616327_31282176313840435215558_31282176313840435215558?e=15|*|||,पेड़-पौधों की दुनिया,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930740224016331_31282176313840435215558_31282176313840435215558?e=16|*|||,जल,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930743500816348_31282176313840435215558_31282176313840435215558?e=17|*|||,दूरी मापन एवं गति,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930744320016350_31282176313840435215558_31282176313840435215558?e=18|*|||,सजीव और निर्जीव,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930745139216356_31282176313840435215558_31282176313840435215558?e=19|*|||,तंतु से वस्त्र तक,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930745958416358_31282176313840435215558_31282176313840435215558?e=0|*|||,फूलों से जान-पहचान,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282188930745958416361_31282176313840435215558_31282176313840435215558?e=1|*|||,भोजन कहां से आता है,N/A,DIKSHA,Hindi  2020-11-08
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_A_A_U__345_346?e=2|*|||,Air Around Us: Class 6,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_C_A_U__116_117?e=3|*|||,Changes Around Us: Class 6,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_C_o_F__357_358?e=4|*|||,Components of Food,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_F_t_F__211_212?e=5|*|||,Fibre to Fabric: Class 6,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_G_i_G_O__46_47?e=6|*|||,Garbage in Garbage Out: Class 6,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_devlali/kv_devlali/IN__K__1_C_6__17_S__13_G_t_k_P__301_302?e=7|*|||,Getting to know Plants,N/A,Kendriya Vidyalaya Devlali (No.1),English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054584?e=8|*|||,"Food: Where Does It Come from? Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054586?e=9|*|||,"Fibre to Fabric (Video Lessons) Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054587?e=10|*|||,"Sorting Materials into Groups (Video Lessons) Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),Hindi | English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054588?e=11|*|||,"Separation of Substances (Video Lessons) Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),Hindi | English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054589?e=12|*|||,"Method of Separation Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),Hindi | English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054600?e=13|*|||,"Water (Video Lessons) Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/2022054601?e=14|*|||,"Air Around Us (Video Lessons) Class VI, Science",N/A,Kendriya Vidyalaya Sangathan (Agra Region),English
http://ndl.iitkgp.ac.in/se_document/kv_arga/kvsagra/IN__K_V_S_A__1_C_V__9_V_L__5_S__55_100?e=15|*|||,Class VI Science Video Lessons,"This is a Science video lesson for Class VI. These video lessons are prepared by Kendriya Vidyalaya Sangathan Agra Region subject teachers. In this section the following chapters are described such as Food Where Does It Come from? Components of Food, Fibre to Fabric, Sorting Materials into Groups, Separation ...Show More ",Kendriya Vidyalaya Sangathan (Agra Region),English
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_006294f8_10b3_4515_8271_5201b23ad22e_indirect_and_direct_uses_of_water_l_meecs_water_quality_video_lesson_3?e=16|*|||,Indirect and Direct Uses of Water l MEECS Water Quality: Video Lesson 3,"This lesson focuses on how we use water in our daily lives. Students predict their daily water use and then identify direct uses of water (drinking, bathing, and cleaning) and indirect uses of water (electricity and products). Students consider how water is an essential component of Michigan’s economy ...Show More ",PBS LearningMedia,English  2016-03-28
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_03290a53_a77e_4afe_b9ef_58252142680b_03290a53_a77e_4afe_b9ef_58252142680b?e=17|*|||,Nano: Bone Regrowth,"Kobel and Nathan's friend, Adam, took a skateboarding spill and is stuck with a cast on his leg for weeks. At the Oregon Museum of Science and Industry, they learned that scientists are using nanotechnology to help regenerate nerves and bones. They caught up with a scientist named Tom from Brown University ...Show More ",PBS LearningMedia,English  2011-03-03
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_06677bf9_38c7_4c7b_b503_2fb6b09b57ab_globe_toss_l_meecs_water_quality_video_lesson_1?e=18|*|||,Globe Toss l MEECS Water Quality: Video Lesson 1,"Students use circle graphs to estimate the percentage of the Earth’s surface covered by water. Then, students play a game to determine the percentage of the Earth’s surface covered by water. (This video lesson highlights activity 4 from lesson 1 of the MEECS Water Quality Unit.)",PBS LearningMedia,English  2016-03-21
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_070dbcad_b4c4_4648_a961_a17683e91f68_meecs_climate_change_l_dancing_molecules_video_lesson_4?e=19|*|||,MEECS Climate Change l Dancing Molecules: Video Lesson 4,Students review the greenhouse effect and create models of greenhouse gases to explore the absorption of energy by the various molecules. (This video lesson highlights Extension 1 from lesson 3 of the MEECS Climate Change Unit.),PBS LearningMedia,English  2016-08-15
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_08ec782a_6dfc_423e_ba94_bc2cc051dc0d_meecs_eco_bio_l_outdoor_biodiversity_study_video_lesson_8?e=0|*|||,MEECS Eco Bio l Outdoor Biodiversity Study: Video Lesson 8,Students conduct a study of biodiversity (focusing on species richness) in their schoolyard and answer the following essential question: How can we measure biodiversity? (This video lesson highlights activity 2 from Option B of lesson 7 of the MEECS Ecosystems and Biodiversity Unit.),PBS LearningMedia,English  2016-09-06
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_08f6877f_f9a5_46fe_8d1d_c5a7d25d8121_geothermal_power_explore_more_the_future_of_energy?e=1|*|||,The Future of Energy - Geothermal Power,Geothermal energy is energy that is generated and stored within the earth. It takes advantage of the Earth’s core heat to produce usable energy. Learn more with this video from the Explore More: The Future of Energy series.,PBS LearningMedia,English  2014-12-26
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_092392d1_9d77_417b_8c53_10033a7b4699_092392d1_9d77_417b_8c53_10033a7b4699?e=2|*|||,Bianca's Dogged Pursuit | Cyberchase,"In this Cyberchase video clip, Bianca faces a dilemma when she wants to go to Philadelphia for the day, but must figure out how to feed her dog, Mojo, while she's out. She builds an invention using a rotating alarm clock and sliding lid to cover the food. Bianca tweaks the invention several times by ...Show More ",PBS LearningMedia,English  2012-03-16
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_0af9a773_40d5_4638_b68a_bb2a45519842_meet_the_teacher_mining?e=3|*|||,Meet the Teacher: Mining | Indiana Expeditions,"Students learn about mining and its impact on the earth by using chocolate chip cookies. Rick Crosslin of Indiana Expeditions also introduces us to a teacher, Jenny Woodward, at South Elementary School in Danville, Indiana. This video is available in both English and Spanish audio along with closed captions.",PBS LearningMedia,Spanish | English  2013-09-06
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_0d5fba82_efbe_4074_ba78_f6a3661b6392_0d5fba82_efbe_4074_ba78_f6a3661b6392?e=4|*|||,Scientist Profile: Earthquake Scientist,"Engineer Jose Restrepo is an earthquake scientist in California. As a child growing up in Colombia, he loved to study buildings. In 1978, when he was a college student, a large earthquake struck Colombia. That's when he decided to study earthquakes. He now uses that knowledge to find ways to make concrete ...Show More ",PBS LearningMedia,English | Spanish  2011-01-19
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_0da2cb28_8f99_4f28_9c0d_9e0eb4375999_blowin_in_the_wind_01_research_1?e=5|*|||,SciGirls | Blowin' in the Wind 01: Research 1,"This SciGirls video is a good example of the interconnectedness of science, engineering, and art. The SciGirls want to learn more about wind power and are looking for ideas about what to power using their own mini wind farm. They get some ideas by visiting the local art museum and see an example of using ...Show More ",PBS LearningMedia,English | Spanish  2013-10-09
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_0fb4f536_15cb_4298_8345_29fac6771637_degrees_that_work_natural_gas?e=6|*|||,Degrees that Work - Natural Gas,Learn about the degrees and careers associated with the Natural Gas Industry.,PBS LearningMedia,English  2014-07-24
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_111619c1_e287_4073_9b6b_9f303bf40ff1_mother_natures_shoes_06_mentor_moment?e=7|*|||,SciGirls | Mother Nature's Shoes 06: Mentor Moment,"The SciGirls talk with their mentor about the struggles they had when testing their prototypes and get suggestions for next time. Seeing women who have succeeded in STEM helps inspire and motivate girls, especially when they can relate to these mentors as people with lives outside of the lab.",PBS LearningMedia,English | Spanish  2013-10-15
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_11_good_stuff_power_earthships_earthships_living_off_the_grid_the_good_stuff?e=8|*|||,Earthships: Living Off the Grid | The Good Stuff,"An Earthship is a home that captures its own water, recycles its own sewage, and produces its own electricity and food. Earthships are meant to function completely independent of the power grid and infrastructure. Do we need the grid? Can we live off the grid? Find out in this episode.",PBS LearningMedia,English  2016-05-10
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_136ef125_5afb_40b7_8c5d_26f400a99c8d_nanoengineer_and_the_scientific_method?e=9|*|||,West Virginia | Nanoengineer and the Scientific Method,Students learn how the scientific method is used in the field of nanoengineering and about the career of researcher. The scientific method is used by a researcher in nanoengineering to develop new sources of energy.,PBS LearningMedia,English  2014-10-09
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_13db21dc_9623_4a41_aa98_c1a2c67645ce_3d_watershed_model_l_meecs_water_quality_video_lesson_4?e=10|*|||,3D Watershed Model l MEECS Water Quality: Video Lesson 4,"In this activity, students observe and participate in the movement of water by labeling the parts of a watershed using a 3D watershed model. Students answer these essential questions: What is a watershed? Why care about watersheds? How does water in your watershed reach the Great Lakes? (This video lesson ...Show More ",PBS LearningMedia,English  2016-03-28
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_19809652_fbc1_4634_bec4_bab8bf9cd089_super_sleuths_03_collect_evidence?e=11|*|||,SciGirls | Super Sleuths 03: Collect Evidence,This SciGirls video shows the girls working with their mentor to collect the evidence from the crime scene. There are lots of steps involved in collecting evidence from a crime scene to make sure there is no contamination. The SciGirls learn about the process from their mentor and then document and collect ...Show More ,PBS LearningMedia,English | Spanish  2013-10-21
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_1eb6b7da_794f_460c_8c8f_dce626521ca3_how_do_doctors_target_diseased_cells?e=12|*|||,How Do Doctors Target Diseased Cells?,"Student animator Steven Handy, from Western Carolina University, was able to show how nanotechnology is allowing doctors to protect healthy cells while attacking tumors with chemotherapy. Nanocarriers allow doctors to deliver higher levels of toxic drugs to cancer cells while reducing side effects in ...Show More ",PBS LearningMedia,English  2017-12-04
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_1ed12ed4_130b_4b5f_8ba4_5cf6a25f6945_meecs_climate_change_l_weather_or_climate_change_video_lesson_1?e=13|*|||,MEECS Climate Change l Weather or Climate Change: Video Lesson 1,"What is the distinction between weather and climate? As a way to understand climate, pairs of students sort weather and climate statements. (This video lesson highlights activities 1 and 2 from lesson 1 of the MEECS Climate Change Unit.)",PBS LearningMedia,English  2016-08-15
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_1fbb6367_1acd_4992_a27b_18f2d09080c0_mn_original_painter_dan_bruggeman?e=14|*|||,MN Original | Painter Dan Bruggeman,"Learn about how painter Dan Bruggeman is interested in the places between urban and suburban; landscapes which are uniquely American. His paintings portray vignettes where humans have altered the natural environment for entertainment purposes. As a senior lecturer of studio art at at Carleton College, ...Show More ",PBS LearningMedia,English  2015-08-17
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_246d5cff_f294_4453_a641_28656c4c566c_246d5cff_f294_4453_a641_28656c4c566c?e=15|*|||,GEMS CO2 Cars,"Hannah, Victoria and Laura are GEMS: Girls in Engineering, Math and Science. GEMS is an after-school program where girls work on science projects. Check out how they design and build dragster cars, then watch as they race in a state competition.",PBS LearningMedia,English  2011-03-11
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_255ea21c_2339_4907_8c4a_791c1dab01aa_working_landscapes_basics?e=16|*|||,Working Landscapes - Basics,A working landscape is an area where people live and work in a way that allows the native ecosystem to be sustained. Business and social activities are done in a way that minimizes the disturbance of native plants and animals. A working landscape is an area where humans work as responsible members of ...Show More ,PBS LearningMedia,English  2014-09-24
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_25af61ae_077f_40d9_afe0_c06a4cec0504_solving_land_use_conflicts_l_meecs_land_use_video_lesson_seven?e=17|*|||,Solving Land Use Conflicts l MEECS Land Use: Video Lesson 7,The intent of the lesson is to introduce students to the process that people in a local community undertake when they ask for a change in land use zoning. The lesson presents a typical urban land use conflict through a play. (This video lesson highlights activity 5 from lesson 7 of the MEECS Land Use ...Show More ,PBS LearningMedia,English  2016-06-20
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_26ede01b_a823_4b02_b912_538b8520e3d2_energy_basics_explore_more_the_future_of_energy?e=18|*|||,The Future of Energy - Energy Basics,"Electrical power is produced and distributed through three simple steps: generation, transmission, and distribution. Learn more with this video from Explore More: The Future of Energy series.",PBS LearningMedia,English  2014-12-26
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_27c5005d_d467_4142_8b4a_66ca97d3eba4_water_the_lifeblood_the_steam_cycle_in_power_plants?e=19|*|||,Water: The Lifeblood | The Steam Cycle in Power Plants,"Power plants must be located near large sources of water, but the water is used over and over again in the steam cycle that generates our power.",PBS LearningMedia,English  2016-05-24
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_292bc089_e3de_4e5b_be94_af16274ea13f_where_is_all_the_water_in_the_world_l_meecs_water_quality_video_lesson_2?e=0|*|||,Where Is All the Water in the World? l MEECS Water Quality: Video Lesson 2,"Students work together in groups to estimate the distribution of water in the various locations on Earth, where it is found, and discover how much fresh water is available on Earth for human use. Students answer these essential questions: Where is water found on Earth? Is there enough water on Earth ...Show More ",PBS LearningMedia,English  2016-03-28
http://ndl.iitkgp.ac.in/se_document/pbs_learningmedia/pbslearningmedia/resource_29788730_0599_465e_9116_32cdf0cc72fa_meecs_energy_resources_l_michigans_energy_mix_video_lesson_2?e=1|*|||,MEECS Energy Resources l Michigan's Energy Mix: Video Lesson 2,Students will categorize Michigan’s energy resources in to renewable and non-renewable resources while working in pairs. (This video lesson highlights activities 1 and 2 from lesson 2 of the MEECS Energy Resources Unit.),PBS LearningMedia,English  2016-11-14
