Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/212a24d1ebb6dfdb82c3f4f75ad37236e0fcc631?e=17|*|||,Energy Flow in Communities,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Distinguish between energy and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/25a107579e443a4748f55067e1edc9a93b7cefb6?e=18|*|||,Bassam Shakhashiri,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/2eeec41c9f5ba7973799876bdadf0691b1341426?e=19|*|||,Evidence (video),"An image can show us otherwise invisible processes, previously undiscovered life forms, and dramatic change over time. This video features…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/34605d660001733112087a3e7264b5f76b9fac5e?e=0|*|||,Heather Mars Talk,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3c2c751e758e2e2e424731e438826951ac66aefd?e=1|*|||,Story (video),Every photograph tells a story: Stories of struggle. Stories of beauty. Stories of community and culture. This video offers stories…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3f84a5832efae2620a9e414f7375befca77d6b72?e=2|*|||,James Wandersee,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/42d1676f2b35b153cb11bb769a7d76ec629d9912?e=3|*|||,Matt Schneps and Phil Sadler,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/4ebc2dc916f1127656069817dce777a63ed8bc2f?e=4|*|||,Under Construction,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/56065d7ff86061d596d734fc4ceaa7bad081114b?e=5|*|||,Heather Mars Q and A,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5744652914bddca6c4fc4b67b18a26badfdf7472?e=6|*|||,Can We Believe Our Eyes?,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5a876ea90431d2b0049f3a61e49351d87900a88d?e=7|*|||,A Private Universe 20 Years Later,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5d17594a9583a2f561202694fc423f74c866bbd9?e=8|*|||,Irwin Shapiro,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5d7870f8cc3b83a29fd916f643e1bfc04f7b8907?e=9|*|||,Extending the Particle Model of Matter,Learning Goals During this session you will have an opportunity to build understandings of the following concepts: Review the particle/atomic…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/7129959cc51f417485a5264d1b40bbe71bd998c7?e=10|*|||,Rising and Sinking,Learning Goals During this session you will have an opportunity to build understandings of the following concepts: The volume of…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/85bcb1c5285ecb2b377152b78074c441968fe5e6?e=11|*|||,Evolution and the Tree of Life,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Define what is meant…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/8f96c67b2f4aff6508d2d5801ce91f1db9067031?e=12|*|||,"The Particle Nature of Matter: Solids, Liquids, and Gases","Learning Goals During this session, you will have an opportunity to build understandings to help you: Recognize characteristics of a…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/94a67a6ddfeb82b5d6513370c23d62ed9970cec6?e=13|*|||,What Is Matter?: Properties and Classification of Matter,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Recognize the criteria that…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/984fb23849fbd190278644ad6562cde684c3866f?e=14|*|||,Physical Changes and Conservation of Matter,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Matter is neither created…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/9fba5a992cd0cf31694e50c7637b3abb5474869b?e=15|*|||,A Private Universe,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/a0272b2d7ae7a4543eec5090224d421062483fc4?e=16|*|||,Density and Pressure,Learning Goals During this session you will have an opportunity to build understandings of the following concepts: Rising and sinking…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/a7ac8e6eaf807ce456cdc837b244be4653e184e1?e=17|*|||,Heat and Temperature,Learning Goals During this session you will have an opportunity to build understandings of the following concepts: Heat is the…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/ac3d42a44abb42235d76e5bf8ca58d6f7c9cad22?e=18|*|||,Classifying Living Things,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Distinguish between plants, animals,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/bee3106be118ffaf806afbc207e72e3a266309ab?e=19|*|||,Power Writing for Science,Amy Miles uses a “power writing” exercise to build writing skills and reinforce background knowledge. Teacher: Amy Miles School: Health Sciences High…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/cacba7d3f4ef857551f8d2ba211bb812a8c447c6?e=0|*|||,Animal Life Cycles,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Describe the life stages…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/cd10a276f0a4ed2a215947b63c28d00806c5602a?e=1|*|||,Lessons From Thin Air,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d01c4d2e63ddacdccf9fe69e231bba2fc96cc7b1?e=2|*|||,Witness (video),Photographs bear witness to the world around us and give us an opportunity to learn more about historical and present…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d0c5ce69e8de04563d9e43b0b46b58c030fe202c?e=3|*|||,Reading In Science,N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d3211c948f836184b42e6dc359ff507d81c0d892?e=4|*|||,A Private Universe,Discover why even Ivy League graduates don't really grasp basic science concepts in this video documentary for grade 5-12 educators.,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d4c37d3ea0a273120c8b45854d4a35aeddcbf3a7?e=5|*|||,Plant Life Cycles,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Describe the stages in…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/db59b2f76fa3b2b39bbc8479d34631b065249d44?e=6|*|||,Science Literacy: Reading and Writing Diagrams,"Students use models to explain how the relative positions of the Sun, Moon, and Earth determine Moon phases, eclipses, and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/e2e5cec6e0ae59b0e65464a20d3ab5d53f1faabb?e=7|*|||,What Is Life?,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Distinguish between living, dead,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/ec4a7caf5d55737b5e33e3e5412c5e4ad1778b53?e=8|*|||,Lives (video),"Lives explores the story of human resilience and perseverance. In this video, you’ll meet five people who illuminate the lives of…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/03810329e7ff0a48387abeaad0a47dbe?e=9|*|||,Carbon: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/1786283c69ecde00f791a9887eb4604e?e=10|*|||,Carbon Dioxide: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/2a2f710f63806b7743ed141964e275f9?e=11|*|||,Plant Cell: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/2e747e45fc9931618f362bff0c0cca74?e=12|*|||,"Environment & Science, Force & Pressure- Part 1: Class VIII",N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/3528228af196cfdbc428df502d4c2985?e=13|*|||,পদার্থের প্রকৃতি: পদার্থের ভৌত ও রাসায়নিক ধর্ম,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/46f5feb2dd1ee72491d113c756427f08?e=14|*|||,প্রাকৃতিক ঘটনা ও তার বিশ্লেষণ- বজ্রপাত ভাগ 1,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/4b8f2bebb7c89d7a27c61c6a24cd3bd0?e=15|*|||,Prakash Part 2: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Hindi
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/4f4bd48655dbd7b977bacb865335fde9?e=16|*|||,Heat 3: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/76053030e197d631d67861793b136dec?e=17|*|||,Environment & Science- Chemical Reaction Part 2: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/7f36dbc4182f4491fccfc99be5ea433c?e=18|*|||,রাসায়নিক বিক্রিয়া: অষ্টম শ্রেণী,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/88e6f9cf75f2ad87541f9de8fc7529d1?e=19|*|||,স্পর্শছাড়া ক্রিয়াশীল বল: অভিকর্ষ ও মহাকর্ষ,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/99e0a5f257e3d29afea2bfa298b04dc1?e=0|*|||,কয়েকটি গ্যাসের পরিচিতি: অক্সিজেনের রাসায়ানিক ধর্মের কয়েকটি পরীক্ষা,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/a955f2800d61339ee29e66ad526ea909?e=1|*|||,Heat 2: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/a9eaa5104d2ded60498777f5ee955aff?e=2|*|||,Prakash Part 1: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Hindi
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/abb928d26736af2ab4194ef50ef4a787?e=3|*|||,আলো-প্রতিবিম্ব ও আলোর প্রতিসরণ: অষ্টম শ্রেণী,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/bf7bacbdac0f6cf7fcb4c6706f374d4f?e=4|*|||,কয়েকটি গ্যাসের পরিচিতি: পরীক্ষাগারে ব্যবহৃত কয়েকটি যন্ত্র ও তার পরিচিতি,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/c3cf9102b8a46f06deed1ddf27083799?e=5|*|||,Effects of Environment on Cells- Last Part: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/c9ea47bfb4b3f71c47c7d9043bb27a60?e=6|*|||,Poribesh O Bijnan: Part 1: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/d2b8650df8ca2ecb808da1ee7e675fe4?e=7|*|||,মানুষের খাদ‍্য ও খাদ‍্য উৎপাদন - দ্বিতীয় (শেষ) অংশ - পশুপালন,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/d5404dca2ef01e05c7c57bdb5c66ec72?e=8|*|||,আলো: প্ৰতিবিম্ব - সদবিম্ব ও অসদবিম্ব,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/deb779046dfa3dd16f8e6dbb6f1d7ded?e=9|*|||,প্রাকৃতিক ঘটনা ও তার বিশ্লেষণ- বজ্রপাত ভাগ 2,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/fa34f9ccc6162b8200a0226622ae7fc1?e=10|*|||,Environment & Science- Chemical Reaction Part 1: Class VIII,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Bengali
http://ndl.iitkgp.ac.in/se_document/bioedonline/bioedonline/lessons_and_more_lessons_by_topic_nature_of_science_scientific_decision_making_is_it_a_heart_attack_?e=11|*|||,Is It a Heart Attack?,"Using reference materials and their own knowledge, students compile a list of warning signs and symptoms of a heart attack. Students also view a video showing what happens immediately before, during and after a heart attack.",BioEd Online,English
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530399334414911_31252967530399334414911?e=12|*|||,Biology Book English Medium for Andhra Pradesh Board Class VIII,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530839244825304_31252967530399334414911_31252967530399334414911?e=13|*|||,Why Do We Fall Ill,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530840064025309_31252967530399334414911_31252967530399334414911?e=14|*|||,Production And Management Of Food From Plants,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530841702425319_31252967530399334414911_31252967530399334414911?e=15|*|||,Story Of Microoganisms -i,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530841702425322_31252967530399334414911_31252967530399334414911?e=16|*|||,Different Ecosystem,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530849894425350_31252967530399334414911_31252967530399334414911?e=17|*|||,Not For Drinking Not For Breathing,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31252967530854809625377_31252967530399334414911_31252967530399334414911?e=18|*|||,To Find,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096796528640211793_312531096796528640211793?e=19|*|||,Physical Science Book English Medium for Andhra Pradesh Board Class VIII,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802213888211798_312531096796528640211793_312531096796528640211793?e=0|*|||,Electrical Conductivity Of Liquids,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802271232211833_312531096796528640211793_312531096796528640211793?e=1|*|||,Metals And Non- Metals,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802271232211835_312531096796528640211793_312531096796528640211793?e=2|*|||,Friction,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802271232211836_312531096796528640211793_312531096796528640211793?e=3|*|||,Some Natural Phenomena,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802295808211851_312531096796528640211793_312531096796528640211793?e=4|*|||,Force,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802312192211859_312531096796528640211793_312531096796528640211793?e=5|*|||,Synthetic Fibres And Plastics,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802312192211860_312531096796528640211793_312531096796528640211793?e=6|*|||,"Combustion, Fuels And Flame",N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802320384211867_312531096796528640211793_312531096796528640211793?e=7|*|||,Stars And The Solar System,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802328576211871_312531096796528640211793_312531096796528640211793?e=8|*|||,Coal And Petroleum,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531096802353152211883_312531096796528640211793_312531096796528640211793?e=9|*|||,Sound,N/A,DIKSHA,English  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788062720013997_31257571788062720013997?e=10|*|||,Biology Book Telugu Medium for Andhra Pradesh Board Class VIII,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788429721613998_31257571788062720013997_31257571788062720013997?e=11|*|||,విజ్ఞాన శాస్త్రం అంటే ఏమిటి,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788430540814003_31257571788062720013997_31257571788062720013997?e=12|*|||,కణం-జీవుల మౌలిక ప్రమాణం,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788431360014011_31257571788062720013997_31257571788062720013997?e=13|*|||,సూక్ష్మజీవుల ప్రపంచం - 1,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788438732814055_31257571788062720013997_31257571788062720013997?e=14|*|||,వివిధ ఆవరణవ్యవస్తలు,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788439552014064_31257571788062720013997_31257571788062720013997?e=15|*|||,మొక్కల నుండి ఆహారోత్పత్తి- యాజమాన్య పద్దతులు,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257571788444467214093_31257571788062720013997_31257571788062720013997?e=16|*|||,మనకు అనారోగ్యం ఎందుకు కలుగుతుంది ?,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771140829184016973_31257771140829184016973?e=17|*|||,Physical Science Book Telugu Medium for Andhra Pradesh Board Class VIII,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141253529616974_31257771140829184016973_31257771140829184016973?e=18|*|||,బలం,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141254348816982_31257771140829184016973_31257771140829184016973?e=19|*|||,ఘర్షణ,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141255987216990_31257771140829184016973_31257771140829184016973?e=0|*|||,కృత్రిమ దారాలు మరియు ప్లాస్టిక్ లు,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141258444817002_31257771140829184016973_31257771140829184016973?e=1|*|||,లోహాలు మరియు అలోహాలు,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141259264017011_31257771140829184016973_31257771140829184016973?e=2|*|||,ధ్వని,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141261721617025_31257771140829184016973_31257771140829184016973?e=3|*|||,నేలబొగ్గు మరియు పెట్రోలియం,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141263360017036_31257771140829184016973_31257771140829184016973?e=4|*|||,దహనం ఇంధనాలు మరియు మంట,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31257771141266636817053_31257771140829184016973_31257771140829184016973?e=5|*|||,కొన్ని సహజ దృగ్విషయాలు,N/A,DIKSHA,Telugu  2020-12-23
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282176958405836815648_31282176958405836815648?e=6|*|||,विज्ञान भाग 3 : पाठ्यपुस्तक - Bihar Board for Class VIII,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328762368016576_31282176958405836815648_31282176958405836815648?e=7|*|||,कपड़े तरह-तरह के : रेशे तरह-तरह के,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328762368016577_31282176958405836815648_31282176958405836815648?e=8|*|||,दाब और बल का आपसी सम्बन्ध,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328763187216578_31282176958405836815648_31282176958405836815648?e=9|*|||,विद्युत धारा के रसायनिक प्रभाव,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328763187216579_31282176958405836815648_31282176958405836815648?e=10|*|||,घर्षण के कारण,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328763187216580_31282176958405836815648_31282176958405836815648?e=11|*|||,पौधों और जंतुओं का संरक्षण : जैव विविधता,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328763187216581_31282176958405836815648_31282176958405836815648?e=12|*|||,वायु एवं जल प्रदुषण की समस्या,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764006416582_31282176958405836815648_31282176958405836815648?e=13|*|||,तारे और सूर्य का परिवार,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764006416583_31282176958405836815648_31282176958405836815648?e=14|*|||,धातु और अधातु,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764006416584_31282176958405836815648_31282176958405836815648?e=15|*|||,किशोरावस्था की ओर,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764006416585_31282176958405836815648_31282176958405836815648?e=16|*|||,सूक्ष्म जीवों का संसार : सूक्ष्मदर्शी द्वारा आँखों देखा,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764006416586_31282176958405836815648_31282176958405836815648?e=17|*|||,ध्वनियाँ तरह-तरह की,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764825616587_31282176958405836815648_31282176958405836815648?e=18|*|||,दहन और ज्वाला : चीज़ों का जलना,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764825616588_31282176958405836815648_31282176958405836815648?e=19|*|||,तड़ित और भूकंप : प्रकृति के दो भयानक रूप,N/A,DIKSHA,Hindi  2020-08-22
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31282190328764825616589_31282176958405836815648_31282176958405836815648?e=0|*|||,बल से जोर आजमाइश,N/A,DIKSHA,Hindi  2020-08-22
