Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/2f3129f58fca01f8a41d40d03fea26a18d32c91f?e=1|*|||,Mathematics in the Real World: An Epidemiologist,Introduction The Real World videos in the Reading and Writing in the Disciplines course support teachers’ daily efforts to effectively…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/33c457cd011eb8541f82e26f423866095f3bd96a?e=2|*|||,Systems of Equations and Inequalities,Part 1: Systems of Equations A system of equations involves the relationship between two or more functions and can be…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/34c459c5e5fb6b79d8affe4062508f564cc3fa7b?e=3|*|||,Circles and Pi (π),"In this session, we will explore the common measures that involve circles — circumference and area — and work on…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3a9b65c593b76f1ef2bc20a0f968d081eb5d8210?e=4|*|||,"Classroom Case Studies, Grades 3-5","This is the final session of the Data Analysis, Statistics, and Probability course! In this session, we will examine how statistical…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3b4620184972e775afaecbaa1bbb0d9d03cd9666?e=5|*|||,Quadratic Functions,"Quadratic functions model a number of real-world situations. They describe the path of a ball in flight, represent a cross…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3b8f9e4c5ba35324757ceb7b095db83aa868485c?e=6|*|||,"Classroom Case Studies, 6-8","In the previous sessions, we explored geometry as a problem-solving process. You put yourself in the position of a mathematics…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3c2c751e758e2e2e424731e438826951ac66aefd?e=7|*|||,Story (video),Every photograph tells a story: Stories of struggle. Stories of beauty. Stories of community and culture. This video offers stories…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3ec1be152b5dd16abe04a1ec94f3ab6f9c8c54b2?e=8|*|||,What Is Geometry?,"In this session, you will use mathematical communication and geometric thinking to solve problems. You will use paper folding as…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/40dbbbc946afc44ff533c650c9a0c64837006cf7?e=9|*|||,Reading and Writing in Mathematics,The following education experts appear in this video: Jacob Foster is the director of science and technology/engineering at the Massachusetts Department…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/413e3006d7103e62aedbf79e6a74c77a5ae3ea0d?e=10|*|||,Direct and Inverse Variation,Part 1: Direct Variation Direct variation is a critical topic in Algebra 1. A direct variation represents a specific case…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/419293df23db70418812ffdf40bc502e5f8771ce?e=11|*|||,Proportional Reasoning,"In Session 3, we looked at functions and found them to be a relationship between inputs and outputs where there…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/44d39d2ab55b3f00f5bbe14cbae4510f284a5636?e=12|*|||,Mathematical Modeling,"Mathematical Modeling Mathematical models are useful tools for engineers who study the effects of traffic on a bridge, telephone companies…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/464895998a90096148bdb8475f0a92244328ef78?e=13|*|||,More Nonlinear Functions,"In Session 7, we explored exponential and quadratic functions in tables, graphs, and real-life situations. We learned that exponential functions…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/4b6bf7d067e4ef1c9c6932c883bb018c28313ba8?e=14|*|||,Solving Equations,"In the previous session, we looked at linearity in different situations. We used spreadsheets to work with linear functions in…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/4d2fe6dc92100d2a4eb12e653d0c269e7bc2d094?e=15|*|||,Linear Functions and Slope,"In the previous session, you developed proportional reasoning skills by making absolute and relative comparisons, comparing ratios, making scale drawings,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/515aa13db0640c72206970e12d2db031ef2b2f66?e=16|*|||,Fractions and Decimals,"In this session, you will explore the relationships between fractions and decimals and learn how to convert fractions to decimals…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/538bce6131c43c8a592fcea5b9807f8b9904ee91?e=17|*|||,Indirect Measurement and Trigonometry,"How do people determine lengths when they can’t use standard measuring tools, such as a tape measure? How do they…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/58578c6facecc8000c7279ffb5472318abc306d2?e=18|*|||,Linear Functions and Inequalities,"Part 1: Linear Functions Linear functions are those that exhibit a constant rate of change, and their graphs form a…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5a62c294497dc93b4a68560cd269ebd43620cc02?e=19|*|||,The Metric System,There are two measurement systems used in the United States: the English or U.S. customary system and the metric system.…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/5d4d2f3cec9b201509f8a3e6c0314777d9b06e10?e=0|*|||,"Number Sets, Infinity, and Zero","In Session 1, you began to examine the structure of the real number system. You explored some of the elements,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/621a58bc9994827e1ce576aafcad795613077006?e=1|*|||,Bivariate Data and Analysis,"In previous sessions, you provided answers to statistical problems by collecting and analyzing data on one variable. This kind of…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/681cd6f98bbd2266f9cf6b352921a38b1d05450f?e=2|*|||,Fundamentals of Measurement,"In Session 1, you began to explore what it means to measure. In this session, you will investigate the difference…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/6d2e789cea3c9488b1d5fef5b536ee65f85e98b5?e=3|*|||,"Classroom Case Studies, 6-8","This is the final session of the Measurement course! In this session, we will examine how measurement concepts from the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/6d8a4132bfaae7a8cf2b2c962c3c80a96ebbc13f?e=4|*|||,Writing for Mathematics Understanding,Stephanie Brown’s students first work individually and then in groups to construct viable mathematical arguments by critiquing each other’s reasoning.…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/712a8a81609f02b84333a7fc5d060adfc525b998?e=5|*|||,"Classroom Case Studies, 3-5","This is the final session of the Measurement course! In this session, we will examine how measurement concepts from the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/717efecf435cdb03d33e5f5726cbf380c402300b?e=6|*|||,"Classroom Case Studies, Grades 6-8","This is the final session of the Data Analysis, Statistics, and Probability course! In this session, we will examine how statistical…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/71e4e541ab56d67226997482300cabdf08ad8a8f?e=7|*|||,Students’ Understanding of Area (video),N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/76d21da5dc4e75d54dee44ffa865eba7bdccc3dc?e=8|*|||,What Is a Number System?,"In this first session, you will use a finite number system and number lines to begin to gain a deeper…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/8267d39e1e15164013184eae947714735eefff60?e=9|*|||,Describing Distributions,"In the previous session, you saw how different ways of representing data — such as line plots, bar graphs, frequency…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/887aeb44c64ca231a43643016fdd710eb4ba4c7f?e=10|*|||,"Classroom Case Studies, K-2","This is the final session of the Measurement course! In this session, we will examine how measurement concepts from…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/88d153a139a030d1b377e3c4e38ab772b63bd0a8?e=11|*|||,Triangles and Quadrilaterals,"In this session, you will build triangles and quadrilaterals to explore their properties. Classification is an important part of geometry…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/934a00e6791a2c9ec39108c66446143410590787?e=12|*|||,Statistics As Problem Solving,"Statistics is a problem-solving process that seeks answers to questions through data. In this session, we begin to explore the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/97326062c39394b9355513dcd232462b2c14464d?e=13|*|||,"Classroom Case Studies, 3-5","In the previous sessions, you explored number and operations as a mathematics learner, both to analyze your own approach to…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/97d5bc9be23a3b932a396020724c5961074a311c?e=14|*|||,Parallel Lines and Circles Part C: Circles,A circle is the set of all points in a plane that are equidistant from a given point in the…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/97e8084a14beaecf367975488f97b9271c35ccd2?e=15|*|||,Rational Numbers and Proportional Reasoning,"In this session, we will look at ways to interpret, model and work with rational numbers. We will examine various…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/9a379f23d3626ce287ac57d2719794b5c2d45844?e=16|*|||,Variation About the Mean,"In Session 4, we explored the Five-Number Summary and its graphical representation, the box plot. We also explored the median,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/a084a31a7616d31fd9b4199b44e4297b9ed21040?e=17|*|||,What Does It Mean To Measure? Homework,How Large Is It? This table shows the height to the shoulder and the weight of several species of buffalo.…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/a5083c62ae43eb24abd791ff4b9619b631c826d1?e=18|*|||,Parallel Lines and Circles,"For information on required and/or optional materials for this session, see the Notes tab.In this session, you will use dynamic…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/b0b44b5edf89893809c1b483941e760bb38c68ac?e=19|*|||,"Classroom Case Studies, K-2","In the previous sessions, we explored geometry as a problem-solving process. You put yourself in the position of a mathematics…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/b240e0bba61144be92a8e88b6b8d38233dfd8de1?e=0|*|||,"Classroom Case Studies, Grades K-2","This is the final session of the Data Analysis, Statistics, and Probability course! In this session, we will examine how statistical…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/b48039258761434bd328940ad15ee90b35f07b16?e=1|*|||,"Classroom Case Studies, Grades K-2","This is the final session of the Patterns, Functions, and Algebra course! In this session, we will examine how the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/b77ca41ac2a77daca336381f97164068688814e9?e=2|*|||,"Fractions, Percents, and Ratios","In this session, we’ll look at several topics related to fractions, percents, and ratios. As in earlier sessions, we’ll look…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/bbaad4ede8518c8629455bd6eefd0ee5a81dbba7?e=3|*|||,"Classroom Case Studies, Grades 3-5","This is the final session of the Patterns, Functions, and Algebra course! In this session, we will examine how the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/bea55ee4e75dbd7e92c7fa332b40ffae895e6352?e=4|*|||,Angle Measurement,"In this session, we will investigate angle measurement. We will review appropriate notation and describe angles in terms of the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/bf4a094695751a522d85bd17671fddff58a06583?e=5|*|||,The Pythagorean Theorem,"In this session, you will look at a few proofs and several applications of one of the most famous theorems…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/c0162c4660548a0a706d6d65ad26c882e5b82820?e=6|*|||,Number Theory,"As part of our exploration of number theory, we will look at two models for finding least common multiples and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/c1fea588e35bb97ca184697df50d2dd601ac64ce?e=7|*|||,Measurement Relationships,"In this session, you will explore the dynamic relationships that exist among measurements, such as area and perimeter or surface…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/cb9edbdbd9a9de7946b9a28f95e140a25cf59a23?e=8|*|||,Collaborative Talk About Mathematics,"In Constantina “Dina” Burow’s classroom, developing discussion skills within team practice scenarios helps to not only work through the mathematics…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d01c4d2e63ddacdccf9fe69e231bba2fc96cc7b1?e=9|*|||,Witness (video),Photographs bear witness to the world around us and give us an opportunity to learn more about historical and present…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d2f3b42fe393918326ef7a9a0131b47b010bc89b?e=10|*|||,Exponential Functions,Exponents An exponent is mathematical shorthand that means a number is multiplied by itself repeatedly. An exponential function is a…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/d55f8678c7e6c31bdabe191be016c91fa8508323?e=11|*|||,Nonlinear Functions,"In the previous two sessions, we looked at linear relationships and developed strategies for solving linear equations. Linear functions are…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/da2a4102cfdbd1e2864b3edc89ffd9f3eb81de4b?e=12|*|||,What Does It Mean To Measure?,"In this session, you will begin to explore the questions “What can be measured?” and “What does it mean to…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/dcc5a1d0c278e707c234a408ff1360de78351262?e=13|*|||,Real World Mathematics Collaboration,Students in Stephanie Brown’s class work together in teams to problem solve and develop a system of equations for a…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/e132c96e3fb673956f68936f0b901c572740d75e?e=14|*|||,Designing Experiments,"The statistics problems in previous sessions primarily seek to answer questions about a single group. For example, our analysis and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/e3b765ddb4d0ef02cafddfc7262585349ebcd3b2?e=15|*|||,"Classroom Case Studies, 3-5","In the previous sessions, we explored geometry as a problem-solving process. You put yourself in the position of a mathematics…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/eab05e997cbd37965538699b4378fd9fcbe33cd3?e=16|*|||,"Classroom Case Studies, Grades 6-8","This is the final session of the Patterns, Functions, and Algebra course! In this session, we will examine how the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/ec4a7caf5d55737b5e33e3e5412c5e4ad1778b53?e=17|*|||,Lives (video),"Lives explores the story of human resilience and perseverance. In this video, you’ll meet five people who illuminate the lives of…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/ed7077d71d5e415b7809a4ea85f04b640198f557?e=18|*|||,Dissections and Proof,"In this session, you will begin to use the properties of figures to solve geometric problems and to justify their…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/eda7c9fb5ff6cb4d58f66a5668f1176e52aa0157?e=19|*|||,Meanings and Models for Operations,"In this session, you will examine the operations of addition, subtraction, multiplication, and division and their relationships to whole numbers.…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/f9dec711d813f2244e6446ec4c8cb5e746d56ec5?e=0|*|||,Divisibility Tests and Factors,This session introduces some topics related to number theory. Number theory allows us to consider why mathematics works the way…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/fe5c504230d96aa62d8a3c2ff52fe3dbf0ab7cc4?e=1|*|||,The Metric System Part B: Metric Units (85 minutes),"As we’ve seen, the base unit for length (or distance) is the meter. Meter comes from the Greek word “metron,”…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/1ad829f57aa9aff013de1715466aea05?e=2|*|||,7 and 8 Digit Numbers ki Avdharna: Class VI,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Hindi
http://ndl.iitkgp.ac.in/se_document/banglar_shiksha/banglar_shiksha/42fb152a75c5282034f582e6d2f657fb?e=3|*|||,Sankhya Adharit Tark Purn Anuman: Class VI,N/A,School Education Department Government of West Bengal (Banglar Shiksha),Hindi
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127126859776212789_312531127126859776212789?e=4|*|||,Mathematics Book English Medium - OLD for Andhra Pradesh Board Class VI,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131226112112745_312531127126859776212789_312531127126859776212789?e=5|*|||,Perimeter And Area,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131242496112754_312531127126859776212789_312531127126859776212789?e=6|*|||,Fractions And Decimals,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131258880112761_312531127126859776212789_312531127126859776212789?e=7|*|||,Whole Numbers,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131258880112766_312531127126859776212789_312531127126859776212789?e=8|*|||,Data Handling,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131267072112768_312531127126859776212789_312531127126859776212789?e=9|*|||,Practical Geometry,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131267072112769_312531127126859776212789_312531127126859776212789?e=10|*|||,Ratio And Proportion,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131267072112772_312531127126859776212789_312531127126859776212789?e=11|*|||,Introduction To Algebra,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131275264112773_312531127126859776212789_312531127126859776212789?e=12|*|||,Knowing Our Numbers,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131283456112779_312531127126859776212789_312531127126859776212789?e=13|*|||,Playing With Numbers,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131308032112793_312531127126859776212789_312531127126859776212789?e=14|*|||,Understanding 3d And 2d Shapes,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131308032112795_312531127126859776212789_312531127126859776212789?e=15|*|||,Symmetry,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131316224112799_312531127126859776212789_312531127126859776212789?e=16|*|||,Measures Of Lines And Angles,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131316224112800_312531127126859776212789_312531127126859776212789?e=17|*|||,Basic Geometrical Ideas,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/312531127131357184112824_312531127126859776212789_312531127126859776212789?e=18|*|||,Integers,N/A,DIKSHA,English  2020-10-02
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/3129656780493373441297_3129656780493373441297?e=19|*|||,गणित : पाठ्यपुस्तक - Bihar Board for Class VI,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071496396811707_3129656780493373441297_3129656780493373441297?e=0|*|||,संख्याओं की समझ,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071497216011708_3129656780493373441297_3129656780493373441297?e=1|*|||,पूर्ण संख्याएं,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071497216011709_3129656780493373441297_3129656780493373441297?e=2|*|||,संख्याओं का खेल,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071497216011710_3129656780493373441297_3129656780493373441297?e=3|*|||,पूर्णांक,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071497216011711_3129656780493373441297_3129656780493373441297?e=4|*|||,आधारभूत ज्यामितीय जानकारियाँ,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498035211712_3129656780493373441297_3129656780493373441297?e=5|*|||,सरल आकृतियों की समझ,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498035211713_3129656780493373441297_3129656780493373441297?e=6|*|||,भिन्न,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498035211714_3129656780493373441297_3129656780493373441297?e=7|*|||,दशमलव,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498035211715_3129656780493373441297_3129656780493373441297?e=8|*|||,आंकड़ों का प्रयोग,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498854411716_3129656780493373441297_3129656780493373441297?e=9|*|||,अनुपात और समानुपात,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498854411717_3129656780493373441297_3129656780493373441297?e=10|*|||,एकिक नियम,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498854411718_3129656780493373441297_3129656780493373441297?e=11|*|||,बीजगणित,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498854411719_3129656780493373441297_3129656780493373441297?e=12|*|||,क्षेत्रमितिः परिमिति एवं क्षेत्रफल,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071498854411720_3129656780493373441297_3129656780493373441297?e=13|*|||,सममिति,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/31296569071499673611721_3129656780493373441297_3129656780493373441297?e=14|*|||,प्रायोगिक ज्यामिति,N/A,DIKSHA,Hindi  2020-08-16
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/3130977054606213121190_3130977054606213121190?e=15|*|||,Mathematics Book Telugu Medium - 2020 for Andhra Pradesh Board Class VI,N/A,DIKSHA,English | Telugu  2022-09-07
http://ndl.iitkgp.ac.in/se_document/diksha/diksha/3130977190444646401454_3130977054606213121190_3130977054606213121190?e=16|*|||,మనచుట్టూ ఉండే సంఖ్యలు,N/A,DIKSHA,Telugu | English  2022-09-07
